rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,con,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,croc,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,crot-h,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,guaj,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,ham,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,hep,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,hura,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,led,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,manc,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,mang,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,mosch,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,naja,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,nat-c,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,nat-p,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,nit-ac,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,ph-ac,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,phos,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,rhod,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,rhus-t,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,rhus-v,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,ruta,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,sars,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,spong,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,stann,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,stram,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,sul-ac,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,tarent,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,thuj,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,verb,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,viol-o,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,viol-t,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,zinc,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,æsc,1,1
"ABSENT-MINDED, 11 a.m. to 4 p.m","MIND - ABSENT-MINDED - 11 a.m. to 4 p.m",mind,sub,kali-n,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,hell,3,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,mez,3,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,nux-m,3,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,sulph,3,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,arn,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,caps,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,carl,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cic,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cocc,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,ign,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,nat-m,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,onos,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,op,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,puls,2,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,acon,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,aloe,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,am-m,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,ant-c,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,bell,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,bov,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,calc,1,1
